Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
93927,18612.0,26.9,51987.0,15417.0,19.92800343864173,2.707930367504836,263700.0,1988.0,1571.0,1203.0,0.3293713303737648,70.28497780323643,,,11.793466580700624,1.8697614442295287,4.142488716956802,,,67.8809370298732,0.7575757575757576,90.84461637653126,0.5587792821835375,Greenfield,Monterey County,36.2,-121.4,4347.0,CA
93928,401.0,21.7,-666666666.0,20880.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.518072289156628,15.662650602409638,1080.0,260.0,2.493765586034913,12.718204488778056,0.0,,,50.37406483790524,11.221945137157109,33.66583541147132,0.0,Jolon,Monterey County,36.2,-121.1,82.0,CA
93930,16914.0,30.2,42614.0,16823.0,24.55362421662528,2.6191320799337827,252300.0,1979.0,1564.0,1001.0,0.3217897640208397,62.13607110021453,,,10.979070592408656,2.967955539789524,4.197706042331796,,,63.92337708407237,0.8040676362776398,84.52169800165544,1.2593118126995388,King City,Monterey County,36.2,-121.0,4260.0,CA
93932,782.0,25.9,34583.0,14999.0,35.16624040920716,1.6624040920716112,260800.0,1979.0,1638.0,1006.0,0.0,75.7085020242915,,,19.565217391304348,9.07928388746803,0.0,,,96.80306905370844,3.1969309462915603,25.44757033248082,0.0,Lockwood,Monterey County,35.96,-121.04,292.0,CA
93933,24388.0,35.9,61300.0,27253.0,14.978678038379533,2.985074626865672,436400.0,1976.0,2106.0,1304.0,2.344899195292896,75.71168988491823,,,10.156634410365754,12.666065278005576,1.480236181728719,,,52.87436444152862,7.101853370510087,27.636542561915697,17.11907495489585,Marina,Monterey County,36.68,-121.79,8409.0,CA
93940,32554.0,39.3,77240.0,44902.0,9.396694722614733,1.833876021379861,703200.0,1970.0,2688.0,1654.0,6.017860189977817,60.73033388316933,17545.0,174405.0,7.750199668243534,19.318670516679976,1.1365730785771333,,,79.62155188302513,3.363641948762057,17.18989985869632,7.495238680346501,Monterey,Monterey County,36.58,-121.84,15281.0,CA
93943,0.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,,,,,,,,,,Monterey,Monterey County,36.597,-121.875,5.0,CA
93950,15650.0,49.1,81000.0,48643.0,6.63258785942492,2.178913738019169,763200.0,1957.0,2842.0,1606.0,0.471316994344196,76.58227848101266,2025.0,117085.0,10.511182108626198,21.150159744408946,0.4217252396166134,,,87.25239616613419,1.329073482428115,11.073482428115016,5.130990415335464,Pacific Grove,Monterey County,36.62,-121.92,8171.0,CA
93953,4490.0,57.8,130833.0,72051.0,8.68596881959911,3.474387527839644,1175500.0,1971.0,3648.0,2990.0,0.0,79.62830593280916,,,5.32293986636971,28.70824053452116,0.5567928730512249,,,83.63028953229399,1.11358574610245,6.881959910913141,12.538975501113583,Pebble Beach,Monterey County,36.59,-121.95,2809.0,CA
93954,346.0,34.8,57500.0,16095.0,16.76300578034682,6.936416184971098,210000.0,1964.0,1429.0,973.0,0.0,86.20689655172414,,,18.786127167630056,1.1560693641618498,3.468208092485549,,,86.1271676300578,0.0,78.90173410404624,1.4450867052023122,San Lucas,Monterey County,36.1293,-121.0195,93.0,CA
93955,34614.0,32.0,57667.0,22927.0,14.447911249783324,3.290576067487144,414300.0,1966.0,2051.0,1596.0,4.0226698700178645,68.47163186102384,,,11.888253307910094,9.340151383833131,1.8807418963425204,,,59.007915872190445,7.6414167677818225,42.2603570809499,9.475934592939272,Seaside,Monterey County,36.63,-121.82,11017.0,CA
93960,26788.0,36.5,54775.0,13629.0,8.862177094221293,1.6649245931013887,300100.0,1990.0,1553.0,1155.0,0.0,74.13329348475791,-666666666.0,118835.0,9.63864416903091,3.494101836643273,2.9229505748842763,,,60.239659549051815,8.414215320292667,71.57309242944602,2.4115275496490964,Soledad,Monterey County,36.4,-121.3,4359.0,CA
93962,562.0,47.2,90658.0,33855.0,0.0,0.0,448500.0,1964.0,2326.0,-666666666.0,3.3088235294117645,78.30882352941177,,,3.380782918149466,16.01423487544484,0.0,,,100.0,0.0,11.565836298932384,0.0,Spreckels,Monterey County,36.6,-121.6,246.0,CA
94002,27213.0,39.6,125546.0,65443.0,4.402307720574726,2.575974717965678,1170700.0,1965.0,3760.0,1911.0,6.497846428040992,73.61503044705184,47695.0,266800.0,6.210267151728953,20.54165288648808,1.139161430198802,,,62.78984308969977,1.3081982875831404,11.81788115973983,27.086319038694743,Belmont,San Mateo County,37.51,-122.3,11108.0,CA
94005,4642.0,44.6,109632.0,57652.0,4.136148211977596,2.261956053425248,777400.0,1981.0,3252.0,1934.0,16.390858944050432,61.03230890464933,,,9.17707884532529,21.13313227057303,1.3571736320551486,,,52.30504093063335,5.342524773804395,19.99138302455838,29.90090478242137,Brisbane,San Mateo County,37.69,-122.42,1934.0,CA
94010,42889.0,42.3,135283.0,84477.0,5.033924782578284,2.47149618783371,2000001.0,1960.0,4001.0,1973.0,13.702666151468316,66.82766615146832,139090.0,367995.0,6.37226328429201,24.10641423208748,0.7251276551097018,,,62.127818321714194,1.2660588962204762,9.415001515540116,25.94371517172236,Burlingame,San Mateo County,37.57,-122.37,17348.0,CA
94014,49354.0,38.4,85622.0,29365.0,8.42687522794505,3.2702516513352515,616500.0,1967.0,2587.0,1670.0,23.81679389312977,56.8206106870229,296460.0,400890.0,14.714106252785996,18.701624994934555,2.8204400859099565,,,21.69429022976861,3.6187543056287232,32.13316043279167,52.51448717429185,Daly City,San Mateo County,37.69,-122.44,14284.0,CA
94015,64580.0,39.2,86940.0,34142.0,8.968720966243419,3.960978631155157,678900.0,1964.0,2601.0,2019.0,17.11771114041626,63.70047589014391,256215.0,579770.0,11.598017962217405,22.996283679157635,1.686280582223599,,,23.192938990399504,3.4561783834004336,17.5766491173738,59.83121709507588,Daly City,San Mateo County,37.68,-122.48,20678.0,CA
94019,20521.0,45.5,119832.0,63244.0,5.448077579065347,2.6801812777155107,876200.0,1978.0,3439.0,1946.0,0.3937007874015748,70.96456692913385,,,9.029774377466984,20.71536474830661,1.7981579845036793,,,79.70859119925929,0.4093367769601871,30.07163393596804,4.7512304468593145,Half Moon Bay,San Mateo County,37.5,-122.4,7096.0,CA
